zsh: Нет такого файла или каталога: ./cmd/screener-core/screener-core
2025/09/19 23:04:50 logger.go:35: 2025-09-19T23:04:50+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:04:50 main.go:60: 2025-09-19T23:04:50+03:00 [INFO] starting Screener Core - multi-exchange with shared channel
2025/09/19 23:04:50 error reading config file: open configs/screener-core.yaml: no such file or directory
2025/09/19 23:05:19 logger.go:35: 2025-09-19T23:05:19+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 461/582: SOSOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 462/582: SPECUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 463/582: SPELLUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 464/582: SPKUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 465/582: SPXUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 466/582: SPYXUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 467/582: SQDUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 468/582: SSVUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 469/582: STGUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 470/582: STOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 471/582: STORJUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 472/582: STRKUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 473/582: SUIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 474/582: SUNUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 475/582: SUNDOGUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 476/582: SUPERUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 477/582: SUPRAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 478/582: SUSHIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 479/582: SWARMSUSDT
2025/09/19 23:05:23 main.go:171: 2025-09-19T23:05:23+03:00 [INFO] Gate subscribed 200 symbols, pausing 150ms
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 480/582: SWEATUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 481/582: SWELLUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 482/582: SXTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 483/582: SYNUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 484/582: SYRUPUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 485/582: SYSUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 486/582: TAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 487/582: TACUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 488/582: TAGUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 489/582: TAIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 490/582: TAIKOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 491/582: TAKEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 492/582: TANSSIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 493/582: TAOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 494/582: TCOMUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 495/582: THEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 496/582: THENAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 497/582: THETAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 498/582: TIAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 499/582: TKOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 500/582: TNSRUSDT
2025/09/19 23:05:23 main.go:129: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribed 500 symbols, pausing 150ms
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 501/582: TOKENUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 502/582: TONUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 503/582: TONCOINUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 504/582: TOSHIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 505/582: TOWNSUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 506/582: TRUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 507/582: TRBUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 508/582: TREEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 509/582: TROYUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 510/582: TRUUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 511/582: TRUMPUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 512/582: TRXUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 513/582: TSLAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 514/582: TSLAXUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 515/582: TSTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 516/582: TURBOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 517/582: TUTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 518/582: TWTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 519/582: UMAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 520/582: UNIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 521/582: USD1USDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 522/582: USDEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 523/582: USELESSUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 524/582: USTCUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 525/582: USUALUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 526/582: VANAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 527/582: VANRYUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 528/582: VELOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 529/582: VELODROMEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 530/582: VELVETUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 531/582: VETUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 532/582: VINEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 533/582: VIRTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 534/582: VIRTUALUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 535/582: VOXELUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 536/582: VRAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 537/582: VTHOUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 538/582: VVVUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 539/582: WAIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 540/582: WALUSDT
